,anom,cloud,lat,long,pbl,sat_alt,sat_lat,sat_long,sza,time
8048,0,,35.00120544433594,37.28505325317383,0.18970544636249542,842971.5,-41.887062072753906,55.719642639160156,18.994033813476562,b'2013-07-18T10:13:29.313712Z'
8049,0,,35.06597137451172,37.81938552856445,-0.21556299924850464,842786.4375,-41.45392608642578,55.56846237182617,19.35655975341797,b'2013-07-18T10:13:36.801978Z'
8050,0,,35.12444305419922,38.36684799194336,0.2442319393157959,842601.875,-41.0206184387207,55.41886520385742,19.727075576782227,b'2013-07-18T10:13:44.290259Z'
8051,0,,35.1762809753418,38.93173599243164,-0.17094512283802032,842417.25,-40.58715057373047,55.27080154418945,20.108367919921875,b'2013-07-18T10:13:51.778533Z'
8052,0,,35.220848083496094,39.51886749267578,-0.1493951380252838,842232.25,-40.15351486206055,55.124229431152344,20.503538131713867,b'2013-07-18T10:13:59.266811Z'
8053,0,,35.25714874267578,40.13376235961914,0.16882552206516266,842047.625,-39.71971893310547,54.97911071777344,20.916120529174805,b'2013-07-18T10:14:06.755087Z'
8054,0,,35.28372573852539,40.782875061035156,0.2796489894390106,841862.8125,-39.28577423095703,54.83540344238281,21.35025405883789,b'2013-07-18T10:14:14.243364Z'
8055,0,,35.298545837402344,41.47390365600586,-0.3048555254936218,841678.25,-38.85167694091797,54.69307327270508,21.8109073638916,b'2013-07-18T10:14:21.731631Z'
8056,0,,35.29881286621094,42.21625900268555,0.26459598541259766,841494.0,-38.41742706298828,54.55207824707031,22.3042049407959,b'2013-07-18T10:14:29.219914Z'
8057,0,,35.280662536621094,43.02168655395508,-0.059395939111709595,841309.375,-37.983028411865234,54.412384033203125,22.837913513183594,b'2013-07-18T10:14:36.708180Z'
8058,0,,35.238773345947266,43.905235290527344,-0.21218471229076385,841125.625,-37.54848861694336,54.273956298828125,23.422199249267578,b'2013-07-18T10:14:44.196460Z'
8059,0,,35.165706634521484,44.886817932128906,0.10643509030342102,840941.6875,-37.11381149291992,54.13676071166992,24.070837020874023,b'2013-07-18T10:14:51.684730Z'
8060,0,,35.05083465576172,45.99372100830078,0.6612500548362732,840758.125,-36.678993225097656,54.00076675415039,24.80329132080078,b'2013-07-18T10:14:59.173036Z'
8061,0,,34.87849426269531,47.26520919799805,0.42111825942993164,840574.6875,-36.24403762817383,53.865936279296875,25.64850425720215,b'2013-07-18T10:15:06.661289Z'
8062,0,,34.6245002746582,48.76145935058594,0.4222586154937744,840392.25,-35.80895233154297,53.73224639892578,26.652448654174805,b'2013-07-18T10:15:14.149567Z'
8063,0,,34.2252082824707,50.685508728027344,0.10711374878883362,840209.625,-35.37373352050781,53.59966278076172,27.96533203125,b'2013-07-18T10:15:21.637837Z'
8064,0,,30.27583885192871,22.951723098754883,-0.1756579875946045,840027.25,-34.93838882446289,53.4681510925293,9.325849533081055,b'2013-07-18T10:15:29.126112Z'
8065,0,,31.33421516418457,24.69586753845215,-0.5968998074531555,839845.875,-34.50291442871094,53.33769607543945,10.534316062927246,b'2013-07-18T10:15:36.614381Z'
